,Название,Описание,Требования к исполнителям,Требования проекта,Заказчик,Куратор проекта,Контактная информация Заказчика,Тема проекта,Роли исполнителей,hard skills,Важность ролей
21,Разработка прототипа игры,"Создать прототип, на тему одного из предложенных вариантов: 
1. В основе системы сложности лежит анализ результатов последней игровой сессии игрока. 
2. В основе игрового процесса лежит манипуляции со временем.
3. В основе игрового процесса лежит взаимодействие игрока с законами физики (например гравитацией).
4. В основе игрового процесса лежит взаимодействие игрока с музыкой (музыкальным треком).

Жанр, дизайн и дизайн игрового процесса на усмотрение разработчика.
","['Навыки работы с Unreal Engine 4', 'Язык программирования C++']","['Можно проиграть (относительно стабильная сборка, которую можно запустить и оценить)', 'Два запуска игры не приводят к идентичному результату (действия игрока меняют мир игры и статус игрока)', 'Есть сложность/задача. Игра бросает “чалендж” и опытный игрок играет лучше, чем новичок', 'Ведение соответcвующей документации к проекту (концепт док, roadmap)', 'Игра разрабатывается на платформе Unreal Engine 4,5, VK, Unity']",CloverСreek Entertainment Ltd.,И.С. Блеканов,Павел Базаров,Gamedev,"1. **Data Science**  
2. **Backend - разработка**  
3. **Frontend - разработка**  
4. **Тестировщик**  
5. **DevOps**","Для реализации данного проекта на Unreal Engine 4 или Unity, разработчикам потребуются следующие навыки и инструменты:

1. **Unreal Engine 4** или **Unity** – движок для создания игр.
2. **C++** – язык программирования для работы с движками.
3. **Blueprints** (в Unreal Engine) – визуальная скриптовая система для быстрого прототипирования без написания кода.
4. **Visual Studio** или другой IDE для C++.
5. **Git** или другая система контроля версий.
6. **Perforce** или другие системы управления проектами.
7. **Photoshop** или другой инструмент для графического дизайна.
8. **Substance Painter** или другой инструмент для текстурирования.
9. **Maya** или другой инструмент для моделирования.
10. **PhysX** или другой физический движок для взаимодействия с физикой.
11. **FMOD** или другой звуковой движок для интеграции музыки.
12. **Jira** или другой инструмент для ведения задач и отслеживания прогресса.

Этот список может изменяться в зависимости от конкретных требований проекта и предпочтений команды разработчиков.","Вот как я бы оценил важность каждой роли для данного проекта:

1. **Data Science**  
   Оценка: 3  
   Данные роли важны для анализа данных игровой сессии и создания алгоритмов, которые могут улучшить игровой процесс. Однако проект предполагает создание прототипа, а не полноценной игры, что снижает необходимость глубокого анализа данных.

2. **Дизайн UX / UI и проектирование интерфейсов**  
   Оценка: 4  
   Эта роль важна для любого игрового проекта, так как интерфейс и пользовательский опыт напрямую влияют на восприятие игры. В данном случае, учитывая гибкость жанра и дизайна, эта роль может играть ключевую роль.

3. **Backend - разработка**  
   Оценка: 2  
   Для прототипа backend обычно не требуется, особенно если игра будет небольшой и клиентской. Однако, если планируется интеграция серверной части, то эта роль становится более значимой.

4. **Frontend - разработка**  
   Оценка: 4  
   Как и в случае с дизайном интерфейса, фронтенд-разработка важна для создания интерактивного и привлекательного игрового опыта.

5. **Тестировщик**  
   Оценка: 3  
   Хотя тестирование важно для любой разработки, в контексте создания прототипа его значение несколько ниже, поскольку основная цель – проверить концепцию и собрать обратную связь.

6. **devOps**  
   Оценка: 2  
   На этапе прототипирования devOps не является критически важным, так как основной акцент делается на разработке и тестировании.

Таким образом, наиболее важные роли для этого проекта – это дизайнер интерфейсов и программист (backend и frontend), а также тестировщик."
22,Программный симулятор исполнения заявок на биржевых площадках,"В современном мире неотъемлемой частью существующих экономических механизмов является торговля на централизованных площадках (брокеры, биржах, ECN и т.п.). Там по публично определённым правилам осуществляются операции купли-продажи различных активов между участниками рынка. В отличие от торгов на таких площадках несколько веков назад, когда провести сделки могли только люди и только очно, сегодня львиная доля сделок осуществляется удаленно и автоматизированными торговыми системами, принадлежащими т.н. трейдерам - частным компаниям, подразделениям банков, инвестиционным фондам и т.п.
Данный проект посвящён разработке симулятора исполнения заявок различных типов на стандартной биржевой площадке и валидации его алгоритмической модели, которую в наши дни имеет каждый приличный трейдер.
","['Хорошее знакомство методами численного моделирования (методы интерполяции и аппроксимации функций многих переменных, методы условной и безусловной оптимизации, методы решения ОДУ, метод Монте-Карло)', 'Высокий уровень владения Python 3.11+, С/С++ (большим плюсом будет знание Rust)', 'Знакомство с GSL, библиотеками вычислительной алгебры (BLAS, LAPACK)', 'Знакомство с методами статистического обучения']","['Изучить инструментальные принципы биржевой торговли в контексте двойного непрерывного аукциона', 'Ознакомиться с основными математическими моделями описания динамики ордербука и выбрать алгоритмическую основу симулятора matching-ядра', 'Описать и верифицировать конечный автомат состояний симулятора', 'Имплементировать функциональность симулятора и её комплексное тестирование']",Центр аналитики динамических процессов СПбГУ,И.С. Блеканов,Павел Коротков,4. Анализ временных рядов,"1. **Data Science**  
   Требования включают изучение математических моделей и их имплементацию, что требует глубоких знаний в области анализа данных и машинного обучения.
   
2. **Backend Developer**  
   Проект связан с разработкой функционала симулятора, что подразумевает работу с серверной логикой и обработкой данных, что входит в задачи backend-разработчиков.

3. **Frontend Developer**  
   Хотя основной акцент делается на бэкенд, создание удобного пользовательского интерфейса также важно для демонстрации результатов работы симулятора.

4. **Tester**  
   Комплексное тестирование функционала требует участия тестировщика, который обеспечит качество продукта.

5. **DevOps Engineer**  
   Для развертывания и поддержки инфраструктуры может понадобиться специалист по DevOps, чтобы обеспечить стабильную работу системы.","python, c++, rust, gsl, blas, lapack, numpy, scipy","Вот как я бы оценил важность каждой роли для данного проекта:

1. **Data Science**  
   Оценка: 5  
   Данные задачи требуют глубокого анализа данных, построения моделей и их валидации, что является ключевым аспектом проекта.

2. **Дизайн UX / UI и проектирование интерфейсов**  
   Оценка: 2  
   Хотя дизайн интерфейса важен, он не является критически необходимым для реализации основной функции симулятора – выполнения торговых операций и их валидации.

3. **Backend - разработка**  
   Оценка: 4  
   Разработка backend-части системы важна для интеграции всех компонентов и обеспечения работы симулятора, но она менее критична, чем Data Science.

4. **Frontend - разработка**  
   Оценка: 3  
   Frontend также важен, но его реализация может быть упрощена за счет использования готовых решений для визуализации данных.

5. **Тестировщик**  
   Оценка: 4  
   Тестирование необходимо для обеспечения качества продукта, но оно не требует столь высокой квалификации, как другие роли.

6. **devOps**  
   Оценка: 2  
   DevOps важен для развертывания и поддержки инфраструктуры, но это не основная часть проекта, связанная с анализом и разработкой."
23,Геоинформационная система для точного земледелия,"Для реализации цифрового двойника в умном растениеводстве необходим единый веб-сервис, позволяющий систематизировать агроэкологические геоданные, обеспечивать к ним удобный доступ для пользователей, а также обрабатывать геоданные для решения определенного круга задач точного земледелия.","['Java 17+; Spring boot 3.*; Jpa, jooq, jdbc; Liquibase.', 'Python 3.11, Fastapi, SqlAlchemy v2, Alembik', 'Желательно знание имеющегося стека (но возможно использование любых языков и технологий)', 'Понимание асинхронного программирования', 'Postgresql+Postgis, Docker']","['На уровне бд и сервиса внедрить поддержку подполей (поле должно быть представленно мазайкой из подполей, заменить все последовательности на uuid)', 'Создать удобный и интуитивно понятный интерфейса для Агронома. В зависимости от данных необходимо предусмотреть их визуализацию в виде таблицы, графика, изображения и т.д. Стартовая страница должна отображать интерактивную карту полей', 'Предусмотреть возможность объединения близлежащих полей в группы, чтобы снизить запросы метео данных. Добавить возможность хранения информации о культурах в формате PDF', 'Настроить nginx на сервере, чтобы он не блокировал доступ к сваггерам извне', 'Продумать идею с использованием единой субд на все сервисы (у каждого сервиса своя схема, взвесить минусы и плюсы). Если плюсов единой субд больше, сделать админку поверх этой бд', 'Автоматизировать передачу данных с метеосайтов, а также сенсоров при их наличии. Нужно выяснить конкретику. Что за данные, к чему они привязаны на уровне сущностей бд', 'Написать сервис, который берёт информацию с биржи о стоимости культур. Нужно выяснить за какой срок предоставлять стоимость, или нужна только текущая стоимость', 'Обеспечить удобный сваггер и обеспечить полноценные sql миграции']",Кафедра технологии программирования СПбГУ,И.С. Блеканов,Е.П. Митрофанов,Разработка веб-сервисов,"1. **Data Science**  
2. **Backend - разработка**  
3. **Frontend - разработка**  
4. **DevOps**  
5. **Tester**","Java 17+, Spring boot 3.*, Jpa, jooq, jdbc, Liquibase, Python 3.11, Fastapi, SqlAlchemy v2, Alembik, PostgreSQL+PostGIS, Docker","1. **Data Science**  
   Оценка: 3  
   Данная роль важна для обработки геоданных и создания моделей машинного обучения для оптимизации процессов в проекте. Однако проект может обойтись без глубокого анализа данных, если будет достаточно стандартных решений.
   
2. **Дизайн UX / UI и проектирование интерфейсов**  
   Оценка: 5  
   Эта роль критически важна для создания удобного и интуитивно понятного интерфейса для агрономов, что является ключевым аспектом проекта.

3. **Backend - разработка**  
   Оценка: 4  
   Разработка backend-сервисов и интеграция с базой данных являются основой проекта, но без них можно обойтись, если использовать готовые решения.

4. **Frontend - разработка**  
   Оценка: 5  
   Создание фронтенда важно для взаимодействия пользователя с системой, поэтому данная роль имеет высокую значимость.

5. **Тестировщик**  
   Оценка: 3  
   Тестирование важно для любого проекта, однако его отсутствие не остановит разработку, если есть уверенность в качестве кода.

6. **devOps**  
   Оценка: 3  
   Автоматизация развертывания и настройки инфраструктуры важна, но ее отсутствие можно компенсировать ручным управлением процессами."
24,Разработка инструментов ГИС для построения цифрового двойника речной сети,"Предполагается создание ГИС инструментов построения границ естественной экосистемы, на которой она уже способна поддерживать необходимую полноводность и равномерность речного потока - Экосистемного Каркаса (ЭК) речной сети. 
Эти инструменты позволят определить, какие функции естественной экосистемы водосбора рек необходимо восстановить на урбанизированных участках ЭК для достижения необходимой полноводности и равномерности водного потока, а также спланировать стратегию восстановления этих экосистемных функций.
Этот проект может являться частью создания Цифрового двойника речной сети «СимПри», который необходим для разработки, реализации и мониторинга проектов восстановления полноводности рек для их судоходства, предотвращения наводнений, эрозионных процессов, заиливания русел рек, диффузного загрязнения речных потоков и гармонизации водно-климатического баланса урбанизированных территорий.
Предлагаем включиться в реализацию этого проекта путём решения одной из нижеперечисленных задач:
1 - создать алгоритмы восстановления истоков рек по рельефу с целью определения границ территорий питающих истоки рек (водоразделов);
2 - создать алгоритмы выделения границ зон основных и промежуточных водоразделов;
3 - создать алгоритмы выделения зон выветривания осадков на водоразделах;
4 - создать алгоритмы выделения зон склонных к образованию эрозии почв;
5 - создать алгоритмы расчета сети ветрозащитных лесополос и лесопосадок на водоразделах для предотвращения выветривания осадков;
6 - создать алгоритмы выделения подземного русла реки и границ водоохранной зоны достаточной для предотвращения наводнений;
7 – создать алгоритмы расчета водозащитных лесополос и лесопосадок в границах водоохранной зоны русла рек необходимых для предотвращения наводнений, диффузного загрязнения и разрушения берегов;
8 – создать алгоритмы расчета водозащитных земляных сооружений в границах ЭК для восстановления функций естественной экосистемы водосбора рек на его урбанизированных участках;
","['Платформа Q-GIS', 'Знание языков С++ или Python для разработки расширений к Q-GIS']",[],АНО РППТ Уникальные ландшафты,А.Ю. Крылатов,Леонов Иван Евгеньевич,4. Анализ временных рядов,"1. **Data Science**  
   Для анализа данных и создания моделей, которые помогут определить границы экосистем и необходимые меры восстановления.
   
2. **Backend Developer**  
   Для разработки серверной части системы, которая будет обрабатывать данные и предоставлять API для работы с инструментами.

3. **Frontend Developer**  
   Для создания удобного пользовательского интерфейса, через который пользователи смогут взаимодействовать с системой и визуализировать результаты.

4. **DevOps Engineer**  
   Для настройки инфраструктуры и обеспечения бесперебойной работы системы, включая развертывание и поддержку серверов.

5. **QGIS Developer**  
   Для интеграции созданных алгоритмов в платформу QGIS и предоставления возможности пользователям работать с ними непосредственно в этой системе.","Для выполнения данной задачи разработчикам потребуется следующий набор hard-skills:

1. **Python** – для разработки алгоритмов и обработки данных.
2. **C++** – для создания расширений к платформе Q-GIS.
3. **Q-GIS** – как основной инструмент для работы с геопространственными данными.","**Роль**  
1. Data Science - 4  
2. UX/UI Design and Prototyping - 3  
3. Backend Development - 3  
4. Frontend Development - 3  
5. Testing - 3  
6. DevOps - 2"
25,Голосовой помощник для работы с записью пациентов/получения фидбека по телефону,"В рамках проекта необходимо будет разработать систему голосового бота, состоящую из 3 блоков. Задачи, исполняемые ботом, а также модели, используемые в работе, могут быть определены на ваше усмотрение. 
Общение с клиентом должно  проходить в зависимости от заданных сценариев: Выбор сценария будет зависеть от цели звонка(подтверждение записи, повторное подтверждение, опрос клиента, доп. информация), а так же от ответов клиента(полный отказ от записи, запись на другое время, переход на оператора, просьбы клиентов об услугах и т.д.). Необходимо будет разработать базовые сценарии ведения диалога с клиентом, обосновать свой выбор. Функционал можете выбрать любой, главное чтобы бот поддерживал минимум несколько сценариев работы и имел возможность получать информацию из БД.","['Python, JS, Go', 'Знание основ алгоритмов NLP', 'Знание фреймворков PyTorch/Tensorflow/HuggingFace', 'Знание основ теории работы нейронных сетей  ']","['Разработать STT блок ', 'Алгоритм (в том числе нейросетевой), способный следовать заданным паттернам ведения диалога, подтягивать необходимую информацию с базы данных', 'Разработать TTS блок', 'Способность выдавать ответ за вменяемое время (полный путь ~2-3 секунд, не более)', 'Способность поддержки одновременного разговора с 3-4 пользователями', 'Адекватное использование мощностей(тот же whisper точно не подойдёт из-за скорости и требуемых мощностей, можно посмотреть small и medium модели, например тут https://alphacephei.com/nsh/2023/01/22/russian-models.html)']",ООО Виста,И.С. Блеканов,Качаев Сергей,Разработка голосовых помощников,"1. Data Science  
2. Backend - разработка  
3. Frontend - разработка  
4. DevOps  
5. Testing","Для выполнения данного проекта разработчикам потребуется следующий набор hard-skills и соответствующих инструментов:

1. **Python** – основной язык программирования для реализации системы голосового бота.
2. **PyTorch/TensorFlow/Hugging Face** – библиотеки для работы с нейронными сетями и моделями машинного обучения.
3. **NLTK** – библиотека для обработки естественного языка, которая может использоваться для задач NLP.
4. **SQLAlchemy** – ORM для работы с базами данных.
5. **Flask/Django** – фреймворки для создания веб-приложений, которые могут понадобиться для интеграции с API.
6. **SpeechRecognition** – библиотека для распознавания речи.
7. **TextToSpeech** – библиотека для синтеза речи.
8. **Whisper** – модель для преобразования текста в речь, но её использование не рекомендуется из-за низкой производительности.
9. **Small и Medium модели** – такие как те, что предложены в ссылке, предоставленной заказчиком.

Этот список включает основные инструменты и технологии, необходимые для реализации проекта.","1. **Data Science**  
   Оценка: 5  
   Данная роль критически важна для проекта, поскольку требуется разработка алгоритма, способного следовать заданным паттернам ведения диалога и подтягивать информацию из базы данных. Это требует глубоких знаний в области машинного обучения и нейронных сетей.

2. **Дизайн UX / UI и проектирование интерфейсов**  
   Оценка: 3  
   Эта роль менее критична для разработки самого голосового бота, но она важна для создания удобного и интуитивно понятного интерфейса взаимодействия пользователя с системой.

3. **Backend - разработка**  
   Оценка: 4  
   Разработка backend-части системы также является важным аспектом, особенно учитывая необходимость интеграции с базой данных и обеспечение быстрого ответа системы.

4. **Frontend - разработка**  
   Оценка: 3  
   Как и в случае с UX/UI дизайном, фронтенд разработка важна, но не настолько критична, как работа над внутренними компонентами системы.

5. **Тестировщик**  
   Оценка: 2  
   Хотя тестирование важно для любого проекта, его роль в данном проекте не столь критична, так как основная сложность заключается в разработке алгоритмов и интеграции с системами.

6. **devOps**  
   Оценка: 2  
   DevOps инженер играет важную роль в обеспечении стабильности и масштабируемости системы, однако его задачи не являются первоочередными для реализации данного проекта."
26,Автоматизация компетентностного распределения специалистов по командам в проектах ИТ,"Автоматизация должна позволять осуществлять качественное автоматическое распределение специалистов, имеющих фиксированный перечень профессиональных компетенций с различным уровнем их развитости, по командам в проектах ИТ. Примечание: каждый ИТ специалист имеет набор категориальных фич, при генерации команды необходимо учитывать тематические направления, уровень скиллов специалистов, уровень скиллов сгенерированной команды должен не сильно отклоняться среднего уровня.","['Базовые знания Python', 'Базовое знание ML и DL, знакомство с стандартным стеком ML-инженера: scikit-learn, pytorch, numpy, pandas', 'Умение искать и обрабатывать информацию']","['Требуется разработать генеративную модель, способную по заданным критериям строить распределение специалистов по направлению IT (с учетом уровня их профессиональных навыков) по командам', 'Рассмотреть как методы классического ML, так и современные подходы DL', 'Провести обзор наиболее релевантных для данной задачи методов', 'Подобрать метрики оценки качества для решения данной задачи']",IT-Клиника СПбГУ,И.С. Блеканов,"Лалуев Денис, Блеканов И.С.",1. Разработка веб-сервисов,"1. Data Science  
2. Backend - разработка  
3. Frontend - разработка  
4. DevOps  
5. Testing","python, sklearn, pytorch, numpy, pandas","1. **Data Science**  
   Оценка: 5  
   Данная роль является ключевой для проекта, поскольку именно специалисты по Data Science будут разрабатывать генеративную модель, анализировать данные, выбирать подходящие методы машинного обучения и внедрять их. Это требует глубоких знаний в области ML/DL и умения работать со сложными алгоритмами.

2. **Дизайн UX / UI и проектирование интерфейсов**  
   Оценка: 2  
   Эта роль менее важна для данного проекта, так как основная цель – автоматизация процесса распределения специалистов, а не создание пользовательского интерфейса. Тем не менее, дизайн может играть определенную роль в удобстве использования системы, но его влияние на конечный результат не столь критично.

3. **Backend - разработка**  
   Оценка: 4  
   Разработчики бэкэнда необходимы для реализации модели и интеграции ее в систему, однако их роль не настолько критична, как у Data Science. Они могут быть заменены другими разработчиками, если проект будет реализован на основе уже существующих решений.

4. **Frontend - разработка**  
   Оценка: 3  
   Как и в случае с дизайном UX/UI, фронтенд-разработка также играет вспомогательную роль. Хотя пользовательский интерфейс важен для взаимодействия с системой, он не влияет напрямую на качество распределения специалистов.

5. **Тестировщик**  
   Оценка: 2  
   Тестирование важно для любого проекта, но оно не является основной задачей для этого проекта. Основная работа сосредоточена на разработке и внедрении модели, а тестировщики проверяют корректность работы системы после завершения разработки.

6. **devOps**  
   Оценка: 3  
   DevOps инженеры играют важную роль в поддержке инфраструктуры и обеспечении стабильности работы системы, что особенно актуально для проектов с большими объемами данных и сложной архитектурой. Однако их вклад не столь критичен, как у разработчиков и специалистов по Data Science."
27,Детекция заболеваний лёгких на рентген-флюорографиях,"В рамках данного проекта вам предстоит обучить нейросетевую модель семейства CNN для задачи детекции различных патологий на рентген-снимках. Набор данных вы можете взять с сайта kaggle, или с других открытых источников, вот пример некоторых из них: https://www.kaggle.com/datasets/vbookshelf/tbx11k-simplified, https://www.kaggle.com/datasets/tawsifurrahman/tuberculosis-tb-chest-xray-dataset, https://www.kaggle.com/datasets/pcbreviglieri/pneumonia-xray-images. 
В качестве основной модели вы можете использовать любые CNN-архитектуры, скорее всего вам подойдут семейства EfficientNet и DenseUnet. В процессе выполнения задания вы можете столкнуться с проблемами недостаточного обучения или, наоборот, сильного переобучения модели на ваших тренировочных данных. Вот несколько возможных решений, которые могут помочь вам:
-Добавление новых данных в обучающую выборку. Попробуйте объединить в ней снимки из разных наборов данных. 
- Оценка тепловых карт предсказывающей модели. Так вы сможете понять, куда именно смотрит ваша модель в момент предсказания. 
- Дополнительные обработки изображения – отделение смазанных/шумных изображений, поиск контуров интересующих вас областей(например, самих лёгких), возможная их сегментация. 
В результате у вас должны получиться модель, которая будет, во-первых, с хорошей вероятностью классифицировать  изображения по вами определённым классам (можно взять пневмонию/туберкулёз, а так же просто маркеры здоров/болен). И во-вторых, достаточно точно определять области на изображении, которые являются маркером данной болезни.
","['Базовые навыки в области CV', 'Знание Python', 'Базовые навыки работы с нейросетями']","['Высокая точность классификации изображения', 'Возможность точно сегментировать области на изображении, которые являются маркером болезни ']",ООО Виста,И.С. Блеканов,Качаев Сергей,Анализ изображений / видео,"1. Data Science  
2. Backend - разработка  
3. Frontend - разработка  
4. Testing  
5. DevOps","Для решения этой задачи разработчикам необходимы следующие hard-skills:

1. Знание Python
2. Базовые навыки работы с нейросетями
3. Основы компьютерного зрения (CV)","1. **Data Science**  
   Оценка: 5  
   Данная роль является ключевой для проекта, поскольку требуется глубокое понимание методов машинного обучения, особенно в области компьютерного зрения (CV). Разработчикам данных науки необходимо будет выбрать подходящую архитектуру модели, настроить гиперпараметры, провести эксперименты с различными методами регуляризации и обработкой данных.

2. **Дизайн UX / UI и проектирование интерфейсов**  
   Оценка: 2  
   Эта роль не является критически важной для проекта. Хотя визуализация результатов может быть полезна для интерпретации моделей, она не влияет напрямую на качество модели или ее производительность.

3. **Backend - разработка**  
   Оценка: 3  
   Backend-разработка необходима для развертывания модели и интеграции ее в систему, но это менее критично для самого процесса разработки модели. Тем не менее, эта роль важна для конечной реализации проекта.

4. **Frontend - разработка**  
   Оценка: 3  
   Как и в случае с UX/UI дизайном, фронтенд-разработка важна для представления результатов пользователям, но не является критичной для самой модели.

5. **Тестировщик**  
   Оценка: 3  
   Тестирование важно для проверки качества модели, но его можно рассматривать как вспомогательную роль, поскольку основная ответственность за качество лежит на разработчиках данных науки.

6. **devOps**  
   Оценка: 3  
   DevOps также играет важную роль в проекте, так как необходимо будет развернуть модель и интегрировать ее в производственную среду. Однако, это не является основным направлением проекта."
28,Классификатор источников звука,"В современном мегаполисе большое количество источников звука, часть из которых может доставлять дискомфорт окружающим, некоторые сознательно привлекают людей. Необходимо определять их тип для эффективной реакции.
Целью проекта является разработка модуля классификации источников звука, использующего гибкий механизм машинного обучения в целях быстрой адаптации к различным видам сигналов и окружающей обстановке.
","['Базовое понимание теории звука и цифровой обработки сигналов', 'Знание основ машинного обучения']","['Необходимо реализовать на любом языке программирования модуль определения факта наличия звукового сигнала и типа источника по принятой временной выборке', 'При обнаружении сигналов необходимо определить их начало и длительность', 'Модуль должен иметь возможность обучения и последующего дообучения']",СТЦ,И.С. Блеканов,Алексей,2. Анализ текстов и поисковые движки,"1. Data Science  
2. Backend - разработка  
3. DevOps  
4. Testing (тестирование)  
5. Design UX/UI","python, numpy, scipy, librosa, tensorflow, keras","1. **Data Science**  
   Оценка: 5  
   Разработчик этой роли играет ключевую роль в проекте, так как именно он будет отвечать за создание модели машинного обучения, которая должна эффективно классифицировать источники звука. Это требует глубокого понимания алгоритмов машинного обучения и анализа данных.

2. **Дизайн UX / UI и проектирование интерфейсов**  
   Оценка: 2  
   Эта роль менее важна для данного проекта, поскольку основной акцент делается на разработку алгоритма машинного обучения, а не на пользовательский интерфейс. Однако, если проект предполагает интеграцию с конечными устройствами, то эта роль также может внести вклад в удобство использования.

3. **Backend - разработка**  
   Оценка: 3  
   Хотя backend-разработка необходима для реализации серверной части системы, она менее критична для проекта, чем разработка самого модуля классификации звуков. Тем не менее, без надежной серверной инфраструктуры проект не сможет функционировать.

4. **Frontend - разработка**  
   Оценка: 2  
   Как и в случае с UX/UI дизайном, фронтенд-разработка имеет меньшее значение для проекта, сосредоточенного на разработке алгоритмов машинного обучения. Однако, если система предполагает взаимодействие с пользователем через веб-интерфейс, то этот специалист будет необходим.

5. **Тестировщик**  
   Оценка: 4  
   Тестировщик играет важную роль в проекте, особенно учитывая необходимость проверки эффективности работы модели на различных типах звуков и условиях окружающей среды. Его работа поможет убедиться, что модель работает корректно и выполняет свои задачи.

6. **devOps**  
   Оценка: 3  
   DevOps инженер также важен для проекта, так как он отвечает за настройку и поддержку инфраструктуры, необходимой для развертывания и эксплуатации модели машинного обучения."
29,Автоматизация сбора и обработки пространственных данных,"В мире существует не только большое количество картографических сервисов и геоинформационных систем, но и данных, которые создаются и используются этими сервисами. Часть таких данных открыты и могут свободно использоваться. Однако объём и динамика изменения таких данных таковы, что при решении задач пространственного анализа может потребоваться автоматизация процессов их сбора, обработки и структурирования (в каком-то смысле требуется реализация ETL/ELT сценариев).
В качестве основного источника таких данных участникам проекта предлагается рассмотреть данные проекта OSM, к дополнительным источникам можно отнести источники и данные, найденные и предложенные самими участниками, например GHSL, данные публикуемые на государственных сервисах и т.д.","['Умение или готовность к быстрому освоению работы с инструментами управления данными', 'Python', 'git', 'Облачные технологии', 'СУБД', 'Инструменты работы с пространственными данными']",[],Центр аналитики динамических процессов и систем СПбГУ,Севрюков С.Ю.,А. Ю. Крылатов,1. Разработка веб-сервисов,"1. Data Science  
2. Backend - разработка  
3. DevOps  
4. Testing  
5. Data Engineer","Python, git, СУБД, инструменты работы с пространственными данными","1. **Data Science**  
   Оценка: 5  
   Данная роль важна, так как проект предполагает работу с большими объемами данных, требующими анализа и обработки. Навыки работы с Python, СУБД и облачными технологиями критически необходимы для успешного выполнения задачи.

2. **Дизайн UX / UI и проектирование интерфейсов**  
   Оценка: 3  
   Эта роль менее критична для данного проекта, поскольку основной акцент делается на обработку данных и разработку алгоритмов, а не на создание пользовательского интерфейса. Тем не менее, качественный дизайн интерфейсов может повысить удобство использования системы.

3. **Backend - разработка**  
   Оценка: 4  
   Важность этой роли высока, так как необходимо разрабатывать серверную часть для хранения и обработки данных. Знание Python и умение работать с базами данных также являются ключевыми навыками.

4. **Frontend - разработка**  
   Оценка: 3  
   Как и в случае с UX/UI дизайном, фронтенд разработка важна, но не первостепенна. Она нужна для создания удобного интерфейса пользователя, однако основная работа будет сосредоточена на бэкенде.

5. **Тестировщик**  
   Оценка: 2  
   Тестирование важно для любого проекта, но в данном проекте, где основное внимание уделяется разработке алгоритмов и обработке данных, тестировщики играют вспомогательную роль.

6. **devOps**  
   Оценка: 4  
   DevOps инженер играет важную роль, особенно если проект использует облачные технологии. Умение управлять инфраструктурой и настройкой CI/CD процессов является ценным для успешной реализации проекта."
30,Сервис по анализу региональной транспортно-логистической системы,"Сервис должен позволять устанавливать среднее число связей (связь – это пересечение улиц) в топологии транспортно-логистической сети региона для каждого объекта сети со всеми остальными как в регионе в целом, так и по отдельным районам.","['Знание Javascript/Typescript и т.п.', 'Знание стандартов HTML/CSS', 'Знание фреймворков React/Angular/Vue и т.п.', 'Знание инструментов сборки фронтенд-проектов']","['Разработать веб-приложение для исследования и анализа региональной транспортно-логистической системы', 'Выявлять самоорганизующиеся региональные пространства и пространства (районы), план (структура) которых задан(-а) регулярным (системным) проектом (self-organization vs top-down planning)', 'Загружать и обрабатывать карту любого региона (на примере, Северо-Запада)', 'Представлять и визуализировать топологию сети общественного транспорта в виде графа, вычислять параметры данной топологии']",Центр аналитики динамических процессов СПбГУ,С.Ю. Севрюков,А. Ю. Крылатов,Разработка веб-сервисов,"1. Data Science  
2. Backend - разработка  
3. Frontend - разработка  
4. DevOps  
5. Testing","JavaScript, TypeScript, HTML, CSS, React, Angular, Vue, Webpack, npm","1. **Data Science**  
   Оценка: 5  
   Роль важна, поскольку требуется обработка данных и анализ топологии сети, что включает работу с большими объемами информации и применение алгоритмов машинного обучения.

2. **Дизайн UX / UI и проектирование интерфейсов**  
   Оценка: 4  
   Важность высокая, так как приложение должно быть удобным для пользователей, а также иметь интуитивно понятный интерфейс для работы с графиками и картами.

3. **Backend - разработка**  
   Оценка: 3  
   Средняя значимость, так как основная функциональность будет сосредоточена на фронтенде, но backend необходим для обработки данных и интеграции с API.

4. **Frontend - разработка**  
   Оценка: 5  
   Высокая важность, учитывая, что большая часть взаимодействия пользователя будет происходить через фронтенд.

5. **Тестировщик**  
   Оценка: 3  
   Средняя важность, так как тестирование важно для качества продукта, но его объем может быть меньше, чем для других ролей.

6. **devOps**  
   Оценка: 2  
   Низкая важность, так как проект не требует сложных инфраструктурных решений, и основное внимание уделяется разработке и тестированию."
